episode,title,publishedAt,durationSeconds,durationMinutes,guid,audioUrl,appleUrl
13,いいか、エロゲは脱ぐし抜く（松崎克俊の伝道）,2023-06-29,2804,47,b68b5e88-1653-11ee-8bfc-4fab383cb157,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4761367778.mp3?updated=1688026998,https://podcasts.apple.com/jp/podcast/13-%E3%81%84%E3%81%84%E3%81%8B-%E3%82%A8%E3%83%AD%E3%82%B2%E3%81%AF%E8%84%B1%E3%81%90%E3%81%97%E6%8A%9C%E3%81%8F-%E6%9D%BE%E5%B4%8E%E5%85%8B%E4%BF%8A%E3%81%AE%E4%BC%9D%E9%81%93/id1680512344?i=1000618731719&uo=4
14,特訓・ドックン・超発奮！2023夏の上昇気流に乗れ,2023-07-06,3019,50,a6fd9582-1be2-11ee-8a7d-c7376fe05dc6,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9283289554.mp3?updated=1688638168,https://podcasts.apple.com/jp/podcast/14-%E7%89%B9%E8%A8%93-%E3%83%89%E3%83%83%E3%82%AF%E3%83%B3-%E8%B6%85%E7%99%BA%E5%A5%AE-2023%E5%A4%8F%E3%81%AE%E4%B8%8A%E6%98%87%E6%B0%97%E6%B5%81%E3%81%AB%E4%B9%97%E3%82%8C/id1680512344?i=1000619524154&uo=4
15,夏のLOVE SPLASH MAGIC!,2023-07-13,2623,44,f86a9af8-2152-11ee-a71d-ff5587d6efce,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9165748174.mp3?updated=1689236084,https://podcasts.apple.com/jp/podcast/15-%E5%A4%8F%E3%81%AElove-splash-magic/id1680512344?i=1000621003322&uo=4
16,推しにもし逢えたら／叫べども叫べども,2023-07-20,2780,46,bcc602e0-26d8-11ee-a3d4-c76f81598385,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS8667286872.mp3?updated=1689842941,https://podcasts.apple.com/jp/podcast/16-%E6%8E%A8%E3%81%97%E3%81%AB%E3%82%82%E3%81%97%E9%80%A2%E3%81%88%E3%81%9F%E3%82%89-%E5%8F%AB%E3%81%B9%E3%81%A9%E3%82%82%E5%8F%AB%E3%81%B9%E3%81%A9%E3%82%82/id1680512344?i=1000621744299&uo=4
17,ハゲとエロゲ、どっちがモテるか勝負しようよ／シシガシラ脇田登場,2023-07-27,3697,62,21a93412-2c32-11ee-b1a1-5bf4992bad18,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS8215479201.mp3?updated=1690431091,https://podcasts.apple.com/jp/podcast/17-%E3%83%8F%E3%82%B2%E3%81%A8%E3%82%A8%E3%83%AD%E3%82%B2-%E3%81%A9%E3%81%A3%E3%81%A1%E3%81%8C%E3%83%A2%E3%83%86%E3%82%8B%E3%81%8B%E5%8B%9D%E8%B2%A0%E3%81%97%E3%82%88%E3%81%86%E3%82%88-%E3%82%B7%E3%82%B7%E3%82%AC%E3%82%B7%E3%83%A9%E8%84%87%E7%94%B0%E7%99%BB%E5%A0%B4/id1680512344?i=1000622504608&uo=4
18,どうしてこうなっちまったんだよ！,2023-08-03,2616,44,7b06c35e-31d1-11ee-a29c-b79c2def9bdf,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7163219312.mp3?updated=1691049153,https://podcasts.apple.com/jp/podcast/18-%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6%E3%81%93%E3%81%86%E3%81%AA%E3%81%A3%E3%81%A1%E3%81%BE%E3%81%A3%E3%81%9F%E3%82%93%E3%81%A0%E3%82%88/id1680512344?i=1000623294884&uo=4
19,あの日、渋谷でみんなが笑った,2023-08-10,3540,59,9a857f76-3759-11ee-9277-8755b9c9e53f,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4894032846.mp3?updated=1691657493,https://podcasts.apple.com/jp/podcast/19-%E3%81%82%E3%81%AE%E6%97%A5-%E6%B8%8B%E8%B0%B7%E3%81%A7%E3%81%BF%E3%82%93%E3%81%AA%E3%81%8C%E7%AC%91%E3%81%A3%E3%81%9F/id1680512344?i=1000624028334&uo=4
20,おかえり,2023-08-17,2308,38,e39309d8-3ce3-11ee-bfbe-f7da88796ff4,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9397141936.mp3?updated=1692268681,https://podcasts.apple.com/jp/podcast/20-%E3%81%8A%E3%81%8B%E3%81%88%E3%82%8A/id1680512344?i=1000624749700&uo=4
21,唯衣ちゃんの幻／コミケの約束,2023-08-24,3405,57,554963e4-4264-11ee-a87a-8bdee3541f39,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3462211085.mp3?updated=1693828489,https://podcasts.apple.com/jp/podcast/21-%E5%94%AF%E8%A1%A3%E3%81%A1%E3%82%83%E3%82%93%E3%81%AE%E5%B9%BB-%E3%82%B3%E3%83%9F%E3%82%B1%E3%81%AE%E7%B4%84%E6%9D%9F/id1680512344?i=1000625531778&uo=4
22,センパイ・・！ご飯に連れてってもらって・・いいですか,2023-08-31,2145,36,1bb47900-47e8-11ee-97b0-73471f168323,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS4647217236.mp3?updated=1693533379,https://podcasts.apple.com/jp/podcast/22-%E3%82%BB%E3%83%B3%E3%83%91%E3%82%A4-%E3%81%94%E9%A3%AF%E3%81%AB%E9%80%A3%E3%82%8C%E3%81%A6%E3%81%A3%E3%81%A6%E3%82%82%E3%82%89%E3%81%A3%E3%81%A6-%E3%81%84%E3%81%84%E3%81%A7%E3%81%99%E3%81%8B/id1680512344?i=1000626312755&uo=4
